subject,response,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
study2_379,"{""Q0"":""I tried to be as honest as possible, as I was instructed. But I also know that we are always our own worst critics so I tried to be as objective but true to my feelings and thoughts as possible. I usually see more negative things about myself than positive things, but I also know that I do have some strengths and good traits, just like anyone. It was quite hard to find the balance while still being truthful and accurate. I had no strategy other than to be honest. I feel a mixed bag of emotions after doing this study. Strangely, some of the negative word choices that I had to consider made me feel a bit depressed when I answered honestly. It was like holding up a mirror to myself, for both good and bad elements. Gave me a lot to think about... I'm curious what the second part of this study down the line will be like, if I get to take part 2.  ""}",,,,,,
study2_378,"{""Q0"":""I just thought about my feelings the best I could and answered accordingly. The task was designed fine as it was.""}",,,,,,
study2_377,"{""Q0"":""I feel distressed that I can't stop worrying.""}",,,,,,
study2_376,"{""Q0"":""""}",,,,,,
study2_375,"{""Q0"":""I read both words and then thought about what I would use to describe myself and also thought of what my husband and family would use to describe me for some of them.  I feel slightly unmotivated right now as I just selected many negative words to describe myself. ""}",,,,,,
study2_374,"{""Q0"":""It made me reflect on how and why I thought of myself in certain ways and what I could do to improve my self-reflection.""}",,,,,,
study2_373,"{""Q0"":""There was no starategies I just chose the words that I felt better described me. I am feeling okay after the experiment. At this moment I don't think anything needs to be improved.""}",,,,,,
study2_372,"{""Q0"":""i enjoyed the study thank you for allowing me to participate in your study.""}",,,,,,
study2_371,"{""Q0"":""Nothing else""}",,,,,,
study2_370,"{""Q0"":""I really just went with my gut and my first reaction.""}",,,,,,
study2_369,"{""Q0"":""I think I have some work to do things that will help me improve in my daily thoughts. I am seeing a psychiatrist and a counselor, so I do have someone to talk to and My Psychiatrist gives me meds. I'm a work in progress, and I will continue to work on it daily until those thoughts are no longer there.""}",,,,,,
study2_368,"{""Q0"":""I can't think of any strategies I employed. I just tried to answer the question""}",,,,,,
study2_367,"{""Q0"":""I felt like most of those words were really speaking out to me. I was or have actually felt those words in the past two weeks.""}",,,,,,
study2_366,"{""Q0"":""""}",,,,,,
study2_365,"{""Q0"":""I found myself stuck thinking about some of the words and if they applied to me. Very thought provoking.""}",,,,,,
study2_364,"{""Q0"":""I kept trying to think of my true self and being honest throughout the entire experiment. I didn't have many other strategies besides that and paying attention. ""}",,,,,,
study2_363,"{""Q0"":""I tried not to think too much about the words and went with my gut to see what I might think of myself subconsciously.""}",,,,,,
study2_362,"{""Q0"":""I don't think I necessarily used any strategies. I just thought in my head how  much I related to each word mentioned. I felt okay overall after completing this experiment. It really had me thinking about myself throughout the whole process. I am glad I was able to take part in this study.""}",,,,,,
study2_361,"{""Q0"":""What strategies were needed? You just to be honest and be honest with yourself. No other strategy needed.""}",,,,,,
study2_360,"{""Q0"":""I feel concerned about my mental health after completing this survey. I am also thinking about taking care of my depression and anxiety better than I am doing in the present. I wish there was different fonts, colors, or backgrounds used in the survey to make it more visually stimulating. Thank you for this opportunity! ""}",,,,,,
study2_359,"{""Q0"":""I just went with my gut""}",,,,,,
study2_358,"{""Q0"":""it was hard to stay focused just because of how repetitive it was, maybe have a break or something else in between""}",,,,,,
study2_357,"{""Q0"":""I tried to see myself from an honest viewpoint and find some positive qualities about myself in relation to the words, although this was very difficult.""}",,,,,,
study2_356,"{""Q0"":""I just thought about how I genuinely felt and tried my best to be honest even if it was painful to do so.""}",,,,,,
study2_355,"{""Q0"":""""}",,,,,,
study2_354,"{""Q0"":""I just went choosing the one that most matched with my personality""}",,,,,,
study2_353,"{""Q0"":""No real stratigies. I was a bit tired, but that didn't change how I answered anything. At least you kept the answers in various formats (clicking arrow keys, Y or N...etc). I do feel a bit more depressed though now. ""}",,,,,,
study2_352,"{""Q0"":""i do not think I had a real strategy, I just tried to be as honest with myself as I could. I feel a little weird after the experiment because I was very raw and honest. I am not sure how you could improve, the tasks went well. i am a very visual person so maybe pictures would help improve the study I am not sure though.""}",,,,,,
study2_351,"{""Q0"":""I didn't use any strategies. I tried not to think too hard and just go with what I felt.""}",,,,,,
study2_350,"{""Q0"":""i thought about my current mood and previous mood how, it applies to the words being presented and which resonated more with me. ""}",,,,,,
study2_349,"{""Q0"":""I appreciated that there were breaks built into the task. Thank you.""}",,,,,,
study2_348,"{""Q0"":""It just made me think of how I might view myself and not realize it.""}",,,,,,
study2_347,"{""Q0"":""I just went through my feelings at the time and if the words went towards myself. ""}",,,,,,
study2_346,"{""Q0"":""I just followed the instructions and answered as truthful as possible.""}",,,,,,
study2_345,"{""Q0"":""I didn't really employ any strategies but just tried to respond as accurately as I could. A few of the word pair tasks I might have responded to differently if I had had more time to reflect. I feel a bit depleted right now after the experiment. Thank you!""}",,,,,,
study2_344,"{""Q0"":""If neither word described me I chose the one that described the least and I did the same for words that described me the most.  some of the choices were both either a no or a yes.  It was interesting.  thank you""}",,,,,,
study2_343,"{""Q0"":""I feel like shit. I just realized how pathetic and useless I am after taking this study. I don't know why I have such low esteem. I wish I could just go to sleep and never wake up. I'm tired of life. ""}",,,,,,
study2_342,"{""Q0"":""I did my best and I was honest.""}",,,,,,
study2_341,"{""Q0"":""everything went smooth it was a bit boring, but it was easy""}",,,,,,
study2_340,"{""Q0"":""My feelings are the same. I just followed the instructions and chose the words that fit me best. ""}",,,,,,
study2_339,"{""Q0"":""Thank you! I have ADHD, anxiety and depression. My answers probably contradict themselves, which I attribute to my neurodevelopmental disorder. I was diagnosed with ADHD at the age of 40, so I'm still learning how to best manage my symptoms along with anxiety, depression, and perimenopause. Fun times! Haha.""}",,,,,,
study2_338,"{""Q0"":""The survey was very interesting and really brought to light how I feel or describe myself. It was eyeopening.""}",,,,,,
study2_337,"{""Q0"":""It was clear and did not have any glitches. It was not cluttered and well organized. Thank You""}",,,,,,
study2_336,"{""Q0"":""Interestingly, I was feeling quite down before starting and feel better after the experiment.""}",,,,,,
study2_335,"{""Q0"":""""}",,,,,,
study2_334,"{""Q0"":""I tried to go with my first instincts as if I had too much time to think about it I feel I would of not been true to myself and told a lie.""}",,,,,,
study2_333,"{""Q0"":""It was a rough time to think about myself and what words describe me. Especially when thinking about my negative traits and not just my positive ones. I tried to really think about how well each word described me and what I'm like in real life. ""}",,,,,,
study2_332,"{""Q0"":""I just picked the closet word that matched me well. All good.""}",,,,,,
study2_331,"{""Q0"":""I feel it was a great experiment.""}",,,,,,
study2_330,"{""Q0"":""I can't think of any ways these tasks could be improved, to be honest. It was a much different kind of study than one Ive ever taken before! It was definitely involving and some of the words I chose for myself, I wonder about such as feeling like I am somewhat toxic, and hateful. It makes you realize some things about yourself! Thank you""}",,,,,,
study2_329,"{""Q0"":""I just went with my gut and let it guide me.""}",,,,,,
study2_328,"{""Q0"":""""}",,,,,,
study2_327,"{""Q0"":""I thought everything was great. I feel a lot more tired now, and a little overwhelmed, but the survey itself was fine. ""}",,,,,,
study2_326,"{""Q0"":""""}",,,,,,
study2_325,"{""Q0"":""i thought the task  choosing between two words was difficult because alot of times i was neither word but i did the best i could with that task.  ""}",,,,,,
study2_324,"{""Q0"":""I just thought about how I've felt day to day in my adult life and the struggles I've had and how they've affected me.""}",,,,,,
study2_323,"{""Q0"":""Some of these were tricky because there are a lot of layers to a person. I can often feel worthless, but useful. I can feel pessimistic, but hopeful. It's very difficult to categorize myself and try to stay truthful, instead of answering according to what I wish to portray of myself/who I want to be vs who I am. This was an engaging study, thank you!""}",,,,,,
study2_322,"{""Q0"":""i was honest with my response. after the experiment it made me feel a little down on myself.""}",,,,,,
study2_321,"{""Q0"":""This is exhausting (if you think about it, and tell the truth). I certainly wish there were more room for both nuance & subtlety/gradations, as well as for paradoxical yet coexisting feelings & descriptions available, simultaneously (but then, I've never really cottoned to 'either or' descriptions & analyses ; )""}",,,,,,
study2_320,"{""Q0"":""well my feelings are I really enjoyed the task and thought it was fun to do.""}",,,,,,
study2_319,"{""Q0"":""I did not employ any strategies, as honestly it took me halfway through to even realize this was probably going to be a memory task. I just answered as honestly as I could and trusted later during recall that I could get the answers right based on that honesty. Only lies need to be \""remembered,\"" truth comes naturally, etc, etc.\n\nTask was perfect, no complaints about the instructions or format.""}",,,,,,
study2_318,"{""Q0"":""NA""}",,,,,,
study2_317,"{""Q0"":""I evaluated the different traits that aligned with my personality.""}",,,,,,
study2_316,"{""Q0"":""It was not very hard.  I thought about each word and how it related to  myself.  Some of the categories with the choices between two words were a bit harder, but I went with my first instinct.  I did feel a little bad when considering how the negative words related to myself, but just for a short period. I can't think of any suggestions to improve the task.  It was an interesting experiement. ""}",,,,,,
study2_315,"{""Q0"":""My feelings after completing the experiment has me looking at myself and reevaluating how I really feel. Like how certain can describe myself in both a negative and positive way. I think the experiment went very well and in my opinion, I dont think you need to do anything to improve the task.It is fine the way it is.""}",,,,,,
study2_314,"{""Q0"":""""}",,,,,,
study2_313,"{""Q0"":""""}",,,,,,
study2_312,"{""Q0"":""I employed strategies of self-reflection, and really thinking about which word pair reflected my personality the best.""}",,,,,,
study2_311,"{""Q0"":""Just tried my best to pick the best description word that suited me. I feel okay. Same as before. Everything in the study went well. I think it is good how it is. Thanks!""}",,,,,,
study2_310,"{""Q0"":""The experiment made me realize how unhappy I make myself feel. During the experiment I realized I could be much happier and I have many things I should be grateful for.""}",,,,,,
study2_309,"{""Q0"":""I didn't use any strategies I just answered the first thought that came to mind.""}",,,,,,
study2_308,"{""Q0"":""I just compared both words and chose one that describe me""}",,,,,,
study2_307,"{""Q0"":""N/A""}",,,,,,
study2_306,"{""Q0"":""I employed my current feelings and general personalities""}",,,,,,
study2_305,"{""Q0"":""Some of the words describe me perfectly because those are the same words that pop into my head over and over again. I probably feel worse than when I started, but honestly, I cannot tell, because I feel empty most days. ""}",,,,,,
study2_304,"{""Q0"":""I tried to be as focused as possible as well as consistent as possible. Those were some strange word options, and I hadn't considered some of those labels before. I worry about the impact of this survey on other participants. I hope the IRB posed questions to you about some aspects. \nAs a technical observation, I wish this survey had a progress bar so I knew how much work I had left. ""}",,,,,,
study2_303,"{""Q0"":""Im in a terribly depressive mood right now which may have made my ratings more severe""}",,,,,,
study2_302,"{""Q0"":""I still fill the same""}",,,,,,
study2_301,"{""Q0"":""n/a""}",,,,,,
study2_300,"{""Q0"":""""}",,,,,,
study2_299,"{""Q0"":""I just tried to be as accurate and honest as possible""}",,,,,,
study2_298,"{""Q0"":""I not only considered how I view myself but I also considered what I have heard about myself from others. I found this experiment interesting and it made me a lot about how I view myself.""}",,,,,,
study2_297,"{""Q0"":""I answer the questions based on how I feel and how I think about myself. ""}",,,,,,
study2_296,"{""Q0"":""No strategy just answered honestly.""}",,,,,,
study2_295,"{""Q0"":""I would say I was just being honest with myself . And with your questions . I can't say I used any strategy , I simply followed your instructions . I will say this was very engaging study and I thank you for letting me participate .""}",,,,,,
study2_294,"{""Q0"":""Overall I definitely feel more down after completing this study. I just feel sadder because I had to analyze how I felt about myself and that made me pretty sad. As far as strategies I employed I just went with what I felt was accurate. I tend to have a good understanding with how I view myself.""}",,,,,,
study2_293,"{""Q0"":""I simply stated my own true feelings. I thought this was a very interesting and engaging survey.""}",,,,,,
study2_292,"{""Q0"":""In terms of strategies, I really didn't have much. I just focused on the two words that were shown on the screen and thought about which one really applied to me more. Most of the words that had the meaning of a bad characteristic didn't apply to me. After completing the experiment, I feel relieved in a way. Since I was able to learn more about myself in a way, seeing which traits really applied to me.""}",,,,,,
study2_291,"{""Q0"":""I think some things about me are true, but others might just be the result of a distorted view of myself. Which parts are real, and which aren’t? Is it all distortion? Or is it all true?""}",,,,,,
study2_290,"{""Q0"":""A progress bar at the top or bottom of the screen would really help due to this being a longer study.  It would show us how much we've completed.  .\n\nI also enjoyed the memory tasks where we had to list words we've seen before or choose between 2 words.""}",,,,,,
study2_289,"{""Q0"":""I kept my mind clear and tried to focus on what my initial thoughts were when presented with a word or choice. I did find that I felt a little down after the exercises. I'm sure it will pass. ""}",,,,,,
study2_288,"{""Q0"":""A few times I clicked the wrong option and I got on to myself""}",,,,,,
study2_287,"{""Q0"":""The task was really engaging and fun, and I have learnt new words.""}",,,,,,
study2_286,"{""Q0"":""I did not employ any strategies while I was completing the experiment. I just chose the words that I felt described me the best. My feelings after completing this experiment are the same as before I started the experiment. The task was really fun and engaging. I do not think that anything needs to be \""improved\"". The task is perfect the way that it is. ""}",,,,,,
study2_285,"{""Q0"":""That was very self-enlightening.  Only strategy I had was to be honest.  Thank you.""}",,,,,,
study2_284,"{""Q0"":""Nothing comes to mind. It was interesting""}",,,,,,
study2_283,"{""Q0"":""Some of the words described me perfectly, so were not a good fit. Made me think...""}",,,,,,
study2_282,"{""Q0"":""I just thought about myself.""}",,,,,,
study2_281,"{""Q0"":""I just went with what felt more like me. ""}",,,,,,
study2_280,"{""Q0"":""It was engaging and insightful.""}",,,,,,
study2_279,"{""Q0"":""I was having to quickly analyze whether or not I truly feel this way, or if I think I feel this way. Also, do I feel this way in general, like overall every day, or is it just now, because I'm thinking about it?""}",,,,,,
study2_278,"{""Q0"":""I self-reflected on myself in order for me to make the right choice of words to describe me.""}",,,,,,
study2_277,"{""Q0"":""Choosing the word that best described me.""}",,,,,,
study2_276,"{""Q0"":""Great experiment.  I enjoy reflecting.  It helps put things into perspective.""}",,,,,,
study2_275,"{""Q0"":""I can't really say much about strategies... I felt it was mostly straightforward and I just answered the questions as I felt correct. My feelings? Well, thinking about all of my insecurities and miseries regarding my self-perception is a bit of a hit to my mood, and I was entirely honest. It's fine though. I don't really have many recommendations beyond, if possible, dimming the screen. For long, text-only experiments like this, staring at a bright screen for so long can be difficult. Especially since I'm apparently being inundated with insects at the moment and have had three of them crawling on my screen... ugh.  But, the most important thing I can say is, I was 100% a competitor in the 1977 olympics! ...That's a joke. Obviously...""}",,,,,,
study2_274,"{""Q0"":""Perhaps including some additional numbers on the scale would encourage person to use the whole range of numbers when assigning a value to word. I find the statements such as \""I am a person of worth\"" and \""I feel worthless\"" to be limiting because generally I feel affirmative about most of those items (I feel bad about myself and incompetent but also think I am worthy, etc.) Thanks. ""}",,,,,,
study2_273,"{""Q0"":""I didn't really have any strategies other than to answer as honestly and accurately as possible. The time limit on the task where we chose between 2 words made me rush a little and I think there were a couple I chose wrong. ""}",,,,,,
study2_272,"{""Q0"":""It makes me realize how sad I really am. How poorly my thinking can be, especially about myself. ""}",,,,,,
study2_271,"{""Q0"":""Study was good and engaging, wouldn't change any part of it. The timed ones were hard because I felt rushed to make a decision but I'm sure that's supposed to happen.""}",,,,,,
study2_270,"{""Q0"":""I did not really employ any strategies... I just read each word and thought about how the word would describe me in real life.""}",,,,,,
study2_269,"{""Q0"":""I just went with my gut response. I'd like the task to be less redundant, but I don't think you would get good results if it wasn't this redundant. Some of the survey questions about how much I worry and how I feel about myself might've been pointlessly redundant.""}",,,,,,
study2_268,"{""Q0"":""An improvement would be to give just a little more time to decide between words. I didn't really have a strategy, just went with which felt the most true to me.""}",,,,,,
study2_267,"{""Q0"":""I can't really think of anything, I think the task was fair and engaging and a good chance to self reflect.""}",,,,,,
study2_266,"{""Q0"":""Separate was spelled incorrectly as seperate.""}",,,,,,
study2_265,"{""Q0"":""It was introspective, however I felt the experiment was overly long. A progress bar or some other method of showing how much was left in the tasks would have been helpful. ""}",,,,,,
study2_264,"{""Q0"":""The first few test questions for the task of if we had seen a word before, I was answering literally if I had seen the word before.  It took me a minute to realize it was in the task.""}",,,,,,
study2_263,"{""Q0"":""I basically just looked at the two words and immediately leaned towards one of them, after a couple of seconds I thought to myself if the other word fit better or not by thinking about my everyday life.""}",,,,,,
study2_262,"{""Q0"":""The only \""strategy\"" was to semi-close my eyes so I could just make out the words because staring at the screen for so long was making my eyes hurt.  I didn't have a strategy as far as how I answered.  I feel a little down now, but I always do when I have to sit with feelings of self-loathing.  The descriptor words have many interpretations, and it takes some mental and emotional energy to parse them.""}",,,,,,
study2_261,"{""Q0"":""I just tried to answer all question as honestly as possible. I didn't want to overthink it. I made the choices that felt were most accurate.""}",,,,,,
study2_260,"{""Q0"":""""}",,,,,,
study2_259,"{""Q0"":""I mean, I didn't employ any \""strategies\"" because that didn't seem to be appropriate for a self-reflective task, right? I just tried my best to answer as honestly and accurately as possible on the different tasks and questionnaires. I guess with some of the words used during the rating tasks and the choice tasks, its kind of hard because I feel like the true answer for a certain word would be so context dependent that its hard to just rate it on a scale. I don't know if there's another way to design that part of the task but that's just my two cents.""}",,,,,,
study2_258,"{""Q0"":""Definitely picked words that related to me most at the current moment as opposed to my whole life.""}",,,,,,
study2_257,"{""Q0"":""I feel like there are some more words I can use to describe how I am and what I am feeling. ""}",,,,,,
study2_256,"{""Q0"":""""}",,,,,,
study2_255,"{""Q0"":""I tired to think as systematically and carefully as possible, but under quick progression was sometimes hard to pinpoint my exact thought. Still think it was pretty close to accurate. ""}",,,,,,
study2_254,"{""Q0"":""I feel okay, usual type of questions for this study, I just used my best judgement some of the words were somewhat similar but different at the same time but tried my best!""}",,,,,,
study2_253,"{""Q0"":""No strategies were employed.""}",,,,,,
study2_252,"{""Q0"":""This was such an in-depth and interesting study. I think the study doesn't need any major tweaks aside from perhaps making the slider numbered so that it's easier for participants.""}",,,,,,
study2_251,"{""Q0"":""i feel a bit better after finishing the whole survey than i did when i finished the questionnaire ""}",,,,,,
study2_250,"{""Q0"":""I chose the word that I felt best described me at the moment and tried my best to think about each word before rating.  I felt that I did a thorough job at trying to complete this experiment to the best of my ability.""}",,,,,,
study2_249,"{""Q0"":""I didn't use any strategies. I just answered honestly to the best of my ability. ""}",,,,,,
study2_248,"{""Q0"":""I think you guys did the study fine. thats all""}",,,,,,
study2_247,"{""Q0"":""nothing""}",,,,,,
study2_246,"{""Q0"":""I just tried to answer as honestly as I could. There was no strategy involved.""}",,,,,,
study2_245,"{""Q0"":""I used exactly how I feel about the words listed. The study was very fascinating.""}",,,,,,
study2_244,"{""Q0"":""As much as I enjoyed this task, I was able to cram the words and I put my full attention. \n\nI spent more than an 1:30Hrs on this task, additional compensation will be appreciated  ""}",,,,,,
study2_243,"{""Q0"":""None.""}",,,,,,
study2_242,"{""Q0"":""I went with my gut feelings""}",,,,,,
study2_241,"{""Q0"":""I was choosing words that describes me better""}",,,,,,
study2_240,"{""Q0"":""My only strategy was to be truthful and follow the instructions.  I feel fine. ""}",,,,,,
study2_239,"{""Q0"":""When it is a timed quiz, I sometimes hit the wrong key, like for instance I believe I hit spectacular when it should have been the other, since I get so focused on the \""hurry up\"" factor of it. Maybe a different format would be more accurate for me. ""}",,,,,,
study2_238,"{""Q0"":""I just chose how I felt at the time. I probably might chose different answers on a different day like if I was feeling a bit better one day and worse another day. ""}",,,,,,
study2_237,"{""Q0"":""""}",,,,,,
study2_236,"{""Q0"":""I enjoyed this experiment and it was simple to understand. Thank you!!""}",,,,,,
study2_235,"{""Q0"":""The tasks were simple enough that no strategy was required. I merely noted the words, applied them to myself, and then rated them in that regard. I found this to be an interesting and unusual experiment. I enjoy language-related and word-themed studies, so this was an especially enjoyable exercise.""}",,,,,,
study2_234,"{""Q0"":""I didn't have a strategie I just answered truthfuly.""}",,,,,,
study2_233,"{""Q0"":""I did not use any strategies. I just gave honest answers. I have no additional comments.""}",,,,,,
study2_232,"{""Q0"":""thank you""}",,,,,,
study2_231,"{""Q0"":""I don't believe I used any strategies. At least that is not the way I see it. I answered based on how I felt the word applied to me.""}",,,,,,
study2_230,"{""Q0"":""I was simply honest with myself. I have a number of flaws as well as good points. I could stand to improve in a lot of areas, and I tried to be open about that here.\n\nI feel reflective now. I want to improve some of those bad qualities about myself this study made me confront. Maybe I will.""}",,,,,,
study2_229,"{""Q0"":""I look at each word and applied it to myself, if it applied, I thought about how much it applied, if it didn't apply it was didn't apply to me. ""}",,,,,,
study2_228,"{""Q0"":""No strategies, no additional thoughts on the experiment.""}",,,,,,
study2_227,"{""Q0"":""I think it was an interesting way to think about my feelings and thoughts about myself versus others.  My son looked at the screen at one point (from across the room) and after I had selected an option that was high (say 75% versus 100%) he disagreed and said that he thought I was completely 100% like the word.  I explained that the process was how I feel a word described me, not how others would describe me. ""}",,,,,,
study2_226,"{""Q0"":""First of all, thank you so much for having me. I didn't really have a strategy going in. Everything was just how I felt or how i've been feeling and just answer based on that. \n\nbut that was a great study and it actually made me reflect on myself and how i'm doing mentally\n\nThank you again""}",,,,,,
study2_225,"{""Q0"":""I just focus on words and select one of them that describe me well. The survey design is easy to understand.""}",,,,,,
study2_224,"{""Q0"":""This study made me get deeper into thought about the kind of person I am or may be.""}",,,,,,
study2_223,"{""Q0"":""i just tried to accurately answer the questions. i had no particular strategy outside of that. i had no strong feelings after completion of the survey. it was more interesting than most of these studies i do but i was not particularly moved by it.""}",,,,,,
study2_222,"{""Q0"":""I really had no strategy other than doing what came to mind.""}",,,,,,
study2_221,"{""Q0"":""""}",,,,,,
study2_220,"{""Q0"":""I didn't employ any strategies because this didn't seem to be that kind of study. I just answered honestly, according to how I felt. ""}",,,,,,
study2_219,"{""Q0"":""The strategies that I employed during this experiment were thinking about what each word meant that I was presented with and to try to give my best guesses as to what the meaning of the words are if I had a hard time understanding what any of the words meant that I was presented with. I feel very good after completing this experiment because I think that this experiment was pretty unique and interesting and very fun to do overall. I think that this task could be improved if there was a part included in this experiment which asks you to select between different pairs of pictures that you are presented with by choosing which picture you think better represents how you view your own personality out of each of the pairs of pictures that are presented to you. I think including this type of a task in this experiment where you select from different pairs of pictures that are presented to you would make this experiment even more interesting and fun to do overall.""}",,,,,,
study2_218,"{""Q0"":""no. thank you for having me!""}",,,,,,
study2_217,"{""Q0"":""""}",,,,,,
study2_216,"{""Q0"":""i did not have any strategies and feelings neither, im pretty much numb""}",,,,,,
study2_215,"{""Q0"":""no real strategy just tried to be honest""}",,,,,,
study2_214,"{""Q0"":""n/a""}",,,,,,
study2_213,"{""Q0"":""I answered, honestly, the way I actually feel about myself and about things. I was just normal during and after the task, no extreme feelings or emotions.""}",,,,,,
study2_212,"{""Q0"":""""}",,,,,,
study2_211,"{""Q0"":""For the words, I just tried to see which emotion fit me better. That was about it, and just answering as honestly as I could.""}",,,,,,
study2_210,"{""Q0"":""I think i did kind of terrible on the word recall. Like some of them seemed familiar but were actually the opposite word (like i think i said lucky was there but the word was actually unlucky or whatever). ""}",,,,,,
study2_209,"{""Q0"":""""}",,,,,,
study2_208,"{""Q0"":""I did not have any but it was a fun study""}",,,,,,
study2_207,"{""Q0"":""None""}",,,,,,
study2_206,"{""Q0"":""No strategy just trusted my feelings and guts""}",,,,,,
study2_205,"{""Q0"":""i feel I tried to be honest with myself and my limitations, and yhinking of myself as this way gives me so much oppotunity to learn and grow""}",,,,,,
study2_204,"{""Q0"":""Didn't have any strategies, just answered honestly.""}",,,,,,
study2_203,"{""Q0"":""A lot of these were hard because I have mixed feelings about myself.  Sometimes I feel useless or worthless, sometimes I feel I have inherent value and help those I love.  It's just more complicated than one consistent feeling, but I did my best even though I'm often conflicted!""}",,,,,,
study2_202,"{""Q0"":""To be honest, this is a depression simulator, especially for someone like myself, but its always good to take a look at your feelings on the matter. When doing the task with comparing two words, I felt my mind slow down and over analyzed each word. Other than that this was a straightforward study, thanks for the invitation. ""}",,,,,,
study2_201,"{""Q0"":""I went with my gut when choosing the word that most described me.  There were a few times I took an extra couple of seconds because I was really not sure which word described me better.  But I ultimately went with my gut decision, or first thought.""}",,,,,,
study2_200,"{""Q0"":""""}",,,,,,
study2_199,"{""Q0"":""""}",,,,,,
study2_198,"{""Q0"":""I determined, on how I feel about myself, and how people react around me, I thought about my overall behaviors , and accomplishmens. I considered the things people know about me, and the things I keep hidden""}",,,,,,
study2_197,"{""Q0"":""None""}",,,,,,
study2_196,"{""Q0"":""I am worried that I chose the right words. ""}",,,,,,
study2_195,"{""Q0"":""I decided to go with the word that most related to myself.  Some cases did not represent me at all, so I just chose the least offensive one.  might be best to put a none button""}",,,,,,
study2_194,"{""Q0"":""I employed no strategies. All of my answers were based off how I genuinely felt. I feel a slightly better about myself having taken such a survey, so thank you for having me and take care. ""}",,,,,,
study2_193,"{""Q0"":""i answered honestly and quickly. The task was interesting. A few more practice trails would help.""}",,,,,,
study2_192,"{""Q0"":""I enjoyed doing this!""}",,,,,,
study2_191,"{""Q0"":""No, thank you!""}",,,,,,
study2_190,"{""Q0"":""i did not employ any particular strategies""}",,,,,,
study2_189,"{""Q0"":""I thought \""what do I feel more on a day to day basis.\"" That's basically the only strategy I used, I weighed my thoughts like a mental balance scale and went with whatever I leaned more towards. Or I quickly thought about all the things I've done good and bad that relate to the word and judged myself on it/gave a mental numeral rating. Honestly this experiment made me realize maybe I'm more negative and hard on myself than I thought I was. ""}",,,,,,
study2_188,"{""Q0"":""I just went with my gut reaction mostly. I think I already have a good feeling on what type of person I am.""}",,,,,,
study2_187,"{""Q0"":""I think this was faster than prolific told me it would be""}",,,,,,
study2_186,"{""Q0"":""I will admit, this survey made me realize how deeply stuck in a rut I am, but you know what? I'll do something bout it! I'll fix it somehow!""}",,,,,,
study2_185,"{""Q0"":""I did not employ any strategies while completing the task. After completing the experiment, I feel alright.""}",,,,,,
study2_184,"{""Q0"":""Nothing to add, thanks""}",,,,,,
study2_183,"{""Q0"":""I did not really employ any strategy I just answered truthfully and my feelings after completeing the experiment were that I'd love to know what my overall results were to find out more about myself.""}",,,,,,
study2_182,"{""Q0"":""Went well, no bugs. It was intuitive. No notes really lol""}",,,,,,
study2_181,"{""Q0"":""This was an interesting study to participate in.""}",,,,,,
study2_180,"{""Q0"":""I didn't have a strategy. I feel good after completing the experiment. It was interesting, though clearer instructions at the start could help.""}",,,,,,
study2_179,"{""Q0"":""The study made me self-reflect a lot more than I originally anticipated. I feel like I learned a lot about myself that I should address.""}",,,,,,
study2_178,"{""Q0"":""This was an interesting experiment!""}",,,,,,
study2_177,"{""Q0"":""I was just going most of the time with my gut feeling. I am a very decisive person, so it wasn't hard for me to choose. I know myself pretty well. I feel worse about myself now, though, compared to when I started the experiment. Maybe make it a bit shorter! I got a little mentally fatigued near the end.""}",,,,,,
study2_176,"{""Q0"":""I tried to just go with my gut feeling on my responses. I found that if I thought too much about them, I would just overthink it. I feel fine after completing the experiment, the same I did before I started it. ""}",,,,,,
study2_175,"{""Q0"":""I tried to to consider how I think of myself in a fair way. ""}",,,,,,
study2_174,"{""Q0"":""i just tried to answer the best i could and really be accurate on how i thought the words described me on the scale. i wouldnt change anything about the survey i think it was set up perfectly and very easy to understand""}",,,,,,
study2_173,"{""Q0"":""How I felt in the moment""}",,,,,,
study2_172,"{""Q0"":""I didn't like having to recall words because there was so many but that is about it""}",,,,,,
study2_171,"{""Q0"":""Wishing you  success with experiment""}",,,,,,
study2_170,"{""Q0"":""No strategies, just answered the questions based on what represents me. ""}",,,,,,
study2_169,"{""Q0"":""Didn't use much strategy. I feel fine. Nothing comes to mind. ""}",,,,,,
study2_168,"{""Q0"":""I feel even worse than I did before but at least I know I'm probably depressed""}",,,,,,
study2_167,"{""Q0"":""I can't think of anything extra to add. I just concentrated on the tasks I was given and tried my hardest to think of which words fit me best when I had two to choose from, and on the slider task I thought about which end of the spectrum I was closer to.""}",,,,,,
study2_166,"{""Q0"":""""}",,,,,,
study2_165,"{""Q0"":""I didn't use any strategies to complete the task. And my feelings throughout the experiment remained neutral; I didn't put much thought into how I felt while completing the tasks.""}",,,,,,
study2_164,"{""Q0"":""I had feelings of relief but also sadness and happiness. I feel like the study helped me vent""}",,,,,,
study2_163,"{""Q0"":""I just compared these words with myself to see which one is more suitable for me. I am feeling calm after completing the experiment.""}",,,,,,
study2_162,"{""Q0"":""I just went with what felt right.""}",,,,,,
study2_161,"{""Q0"":""I had no issues with the experiment. I just tried to pick what I thought was most accurate. I feel a bit worse about myself after, but that's life I guess.""}",,,,,,
