subject,response
study2_530,"{""Q0"":2,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":2,""Q6"":3,""Q7"":3,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":1,""Q15"":2,""Q16"":2,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":1}"
study2_529,"{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":1,""Q4"":1,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":0,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":0}"
study2_528,"{""Q0"":1,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":1,""Q5"":2,""Q6"":3,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":3,""Q13"":2,""Q14"":1,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":2,""Q21"":1,""Q22"":2}"
study2_527,"{""Q0"":1,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":2,""Q5"":2,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":2,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_526,"{""Q0"":2,""Q1"":3,""Q2"":2,""Q3"":1,""Q4"":2,""Q5"":2,""Q6"":2,""Q7"":3,""Q8"":2,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":3,""Q15"":"""",""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":2,""Q21"":1,""Q22"":2}"
study2_525,"{""Q0"":3,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":3,""Q5"":3,""Q6"":2,""Q7"":3,""Q8"":3,""Q9"":3,""Q10"":3,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":2,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":2,""Q19"":3,""Q20"":3,""Q21"":2,""Q22"":2}"
study2_524,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":0,""Q6"":1,""Q7"":1,""Q8"":0,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":0,""Q15"":1,""Q16"":0,""Q17"":1,""Q18"":0,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":0}"
study2_523,"{""Q0"":1,""Q1"":1,""Q2"":3,""Q3"":2,""Q4"":2,""Q5"":2,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":"""",""Q15"":3,""Q16"":1,""Q17"":2,""Q18"":3,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":2}"
study2_522,"{""Q0"":1,""Q1"":0,""Q2"":2,""Q3"":2,""Q4"":1,""Q5"":2,""Q6"":1,""Q7"":2,""Q8"":3,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":1,""Q16"":2,""Q17"":2,""Q18"":1,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":1}"
study2_521,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":1,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":0,""Q21"":1,""Q22"":0}"
study2_520,"{""Q0"":1,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":1,""Q6"":0,""Q7"":2,""Q8"":1,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":1,""Q15"":3,""Q16"":3,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":0,""Q21"":1,""Q22"":2}"
study2_519,"{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":2,""Q6"":2,""Q7"":1,""Q8"":0,""Q9"":1,""Q10"":3,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":2,""Q21"":2,""Q22"":1}"
study2_518,"{""Q0"":1,""Q1"":1,""Q2"":0,""Q3"":0,""Q4"":1,""Q5"":0,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":0,""Q18"":1,""Q19"":0,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_517,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":0}"
study2_516,"{""Q0"":3,""Q1"":1,""Q2"":3,""Q3"":3,""Q4"":3,""Q5"":3,""Q6"":3,""Q7"":3,""Q8"":3,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":3,""Q15"":2,""Q16"":2,""Q17"":3,""Q18"":2,""Q19"":2,""Q20"":3,""Q21"":2,""Q22"":3}"
study2_515,"{""Q0"":1,""Q1"":1,""Q2"":0,""Q3"":2,""Q4"":1,""Q5"":3,""Q6"":1,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":1,""Q15"":3,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":3,""Q20"":1,""Q21"":1,""Q22"":2}"
study2_514,"{""Q0"":3,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":3,""Q5"":3,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":3,""Q14"":3,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":"""",""Q20"":1,""Q21"":2,""Q22"":3}"
study2_513,"{""Q0"":3,""Q1"":2,""Q2"":3,""Q3"":2,""Q4"":2,""Q5"":3,""Q6"":2,""Q7"":3,""Q8"":2,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":2,""Q15"":3,""Q16"":2,""Q17"":3,""Q18"":2,""Q19"":3,""Q20"":2,""Q21"":3,""Q22"":2}"
study2_512,"{""Q0"":3,""Q1"":2,""Q2"":2,""Q3"":1,""Q4"":3,""Q5"":2,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_511,"{""Q0"":3,""Q1"":1,""Q2"":2,""Q3"":3,""Q4"":3,""Q5"":3,""Q6"":2,""Q7"":3,""Q8"":3,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":1,""Q13"":3,""Q14"":1,""Q15"":2,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":3,""Q22"":3}"
study2_510,"{""Q0"":0,""Q1"":1,""Q2"":1,""Q3"":2,""Q4"":0,""Q5"":2,""Q6"":1,""Q7"":1,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":2,""Q15"":3,""Q16"":2,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_509,"{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":3,""Q4"":0,""Q5"":1,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":3,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":3,""Q15"":3,""Q16"":3,""Q17"":2,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":0,""Q22"":1}"
study2_508,"{""Q0"":3,""Q1"":1,""Q2"":2,""Q3"":3,""Q4"":3,""Q5"":3,""Q6"":2,""Q7"":3,""Q8"":3,""Q9"":3,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":3,""Q15"":2,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":3,""Q22"":3}"
study2_507,"{""Q0"":2,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":1,""Q5"":2,""Q6"":1,""Q7"":3,""Q8"":3,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":3,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_506,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":0,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":0,""Q21"":0,""Q22"":0}"
study2_505,"{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":1,""Q4"":0,""Q5"":0,""Q6"":1,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":1,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":0,""Q21"":0,""Q22"":0}"
study2_504,"{""Q0"":1,""Q1"":1,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":"""",""Q20"":1,""Q21"":1,""Q22"":1}"
study2_503,"{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":1,""Q4"":0,""Q5"":0,""Q6"":1,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":3,""Q13"":2,""Q14"":0,""Q15"":1,""Q16"":0,""Q17"":1,""Q18"":1,""Q19"":0,""Q20"":2,""Q21"":2,""Q22"":0}"
study2_502,"{""Q0"":2,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":1,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":2,""Q15"":2,""Q16"":1,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_501,"{""Q0"":"""",""Q1"":2,""Q2"":3,""Q3"":3,""Q4"":2,""Q5"":3,""Q6"":3,""Q7"":3,""Q8"":3,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":3,""Q15"":2,""Q16"":2,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":2,""Q22"":1}"
study2_500,"{""Q0"":3,""Q1"":2,""Q2"":1,""Q3"":2,""Q4"":3,""Q5"":2,""Q6"":2,""Q7"":3,""Q8"":2,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":2,""Q16"":2,""Q17"":3,""Q18"":1,""Q19"":3,""Q20"":3,""Q21"":2,""Q22"":1}"
study2_499,"{""Q0"":1,""Q1"":0,""Q2"":1,""Q3"":2,""Q4"":2,""Q5"":3,""Q6"":2,""Q7"":2,""Q8"":1,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":2,""Q16"":3,""Q17"":2,""Q18"":2,""Q19"":3,""Q20"":2,""Q21"":1,""Q22"":3}"
study2_498,"{""Q0"":2,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":2,""Q11"":1,""Q12"":2,""Q13"":1,""Q14"":2,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":2,""Q21"":1,""Q22"":2}"
study2_497,"{""Q0"":0,""Q1"":0,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":1,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":1,""Q19"":1,""Q20"":0,""Q21"":0,""Q22"":0}"
study2_496,"{""Q0"":1,""Q1"":1,""Q2"":2,""Q3"":3,""Q4"":2,""Q5"":2,""Q6"":0,""Q7"":1,""Q8"":1,""Q9"":0,""Q10"":2,""Q11"":2,""Q12"":3,""Q13"":3,""Q14"":2,""Q15"":2,""Q16"":3,""Q17"":3,""Q18"":2,""Q19"":2,""Q20"":3,""Q21"":3,""Q22"":1}"
study2_495,"{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":2,""Q4"":1,""Q5"":1,""Q6"":2,""Q7"":2,""Q8"":3,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":2,""Q13"":2,""Q14"":3,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":2,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_494,"{""Q0"":3,""Q1"":3,""Q2"":3,""Q3"":3,""Q4"":1,""Q5"":2,""Q6"":3,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":2,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":3,""Q20"":1,""Q21"":3,""Q22"":1}"
study2_493,"{""Q0"":1,""Q1"":3,""Q2"":2,""Q3"":1,""Q4"":1,""Q5"":2,""Q6"":2,""Q7"":2,""Q8"":3,""Q9"":1,""Q10"":3,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":1,""Q15"":2,""Q16"":2,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":2}"
study2_492,"{""Q0"":1,""Q1"":1,""Q2"":3,""Q3"":3,""Q4"":0,""Q5"":2,""Q6"":1,""Q7"":1,""Q8"":2,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":2,""Q15"":0,""Q16"":2,""Q17"":1,""Q18"":1,""Q19"":3,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_491,"{""Q0"":2,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":3,""Q5"":1,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":1}"
study2_490,"{""Q0"":2,""Q1"":3,""Q2"":1,""Q3"":3,""Q4"":1,""Q5"":3,""Q6"":2,""Q7"":3,""Q8"":2,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":3,""Q15"":1,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":2,""Q21"":1,""Q22"":1}"
study2_489,"{""Q0"":2,""Q1"":3,""Q2"":2,""Q3"":3,""Q4"":1,""Q5"":2,""Q6"":1,""Q7"":3,""Q8"":2,""Q9"":1,""Q10"":3,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":3,""Q15"":1,""Q16"":1,""Q17"":2,""Q18"":1,""Q19"":3,""Q20"":1,""Q21"":3,""Q22"":3}"
study2_488,"{""Q0"":3,""Q1"":3,""Q2"":3,""Q3"":2,""Q4"":2,""Q5"":2,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":2,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":2,""Q20"":1,""Q21"":2,""Q22"":2}"
study2_487,"{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":3,""Q4"":3,""Q5"":3,""Q6"":2,""Q7"":2,""Q8"":2,""Q9"":3,""Q10"":3,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":1,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":2,""Q22"":3}"
study2_486,"{""Q0"":2,""Q1"":1,""Q2"":2,""Q3"":2,""Q4"":1,""Q5"":2,""Q6"":1,""Q7"":0,""Q8"":1,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":2,""Q16"":2,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":1,""Q21"":2,""Q22"":2}"
study2_485,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":0,""Q19"":1,""Q20"":0,""Q21"":1,""Q22"":0}"
study2_484,"{""Q0"":1,""Q1"":1,""Q2"":0,""Q3"":1,""Q4"":1,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":0,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":1,""Q18"":1,""Q19"":0,""Q20"":0,""Q21"":0,""Q22"":0}"
study2_483,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":"""",""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":2,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":0,""Q20"":2,""Q21"":3,""Q22"":1}"
study2_482,"{""Q0"":2,""Q1"":1,""Q2"":3,""Q3"":3,""Q4"":2,""Q5"":3,""Q6"":3,""Q7"":2,""Q8"":3,""Q9"":3,""Q10"":3,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":3,""Q15"":3,""Q16"":3,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":3,""Q21"":3,""Q22"":2}"
study2_481,"{""Q0"":"""",""Q1"":1,""Q2"":3,""Q3"":2,""Q4"":1,""Q5"":3,""Q6"":3,""Q7"":0,""Q8"":2,""Q9"":1,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":1,""Q15"":2,""Q16"":1,""Q17"":3,""Q18"":3,""Q19"":2,""Q20"":3,""Q21"":3,""Q22"":2}"
study2_480,"{""Q0"":2,""Q1"":3,""Q2"":2,""Q3"":1,""Q4"":1,""Q5"":3,""Q6"":3,""Q7"":1,""Q8"":3,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":2,""Q15"":2,""Q16"":2,""Q17"":1,""Q18"":3,""Q19"":1,""Q20"":2,""Q21"":1,""Q22"":1}"
study2_479,"{""Q0"":1,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":1,""Q5"":1,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":0,""Q21"":1,""Q22"":0}"
study2_478,"{""Q0"":2,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":2,""Q5"":3,""Q6"":2,""Q7"":0,""Q8"":3,""Q9"":3,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":"""",""Q15"":1,""Q16"":3,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":2}"
study2_477,"{""Q0"":1,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":1,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":1,""Q17"":1,""Q18"":1,""Q19"":1,""Q20"":1,""Q21"":1,""Q22"":0}"
study2_476,"{""Q0"":2,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":0,""Q5"":3,""Q6"":2,""Q7"":1,""Q8"":2,""Q9"":3,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":2,""Q16"":3,""Q17"":1,""Q18"":2,""Q19"":2,""Q20"":3,""Q21"":2,""Q22"":2}"
study2_475,"{""Q0"":3,""Q1"":1,""Q2"":3,""Q3"":3,""Q4"":0,""Q5"":3,""Q6"":3,""Q7"":3,""Q8"":3,""Q9"":3,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":2,""Q15"":1,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":1,""Q22"":3}"
study2_474,"{""Q0"":1,""Q1"":1,""Q2"":"""",""Q3"":1,""Q4"":0,""Q5"":1,""Q6"":1,""Q7"":1,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":1,""Q21"":"""",""Q22"":1}"
study2_473,"{""Q0"":3,""Q1"":1,""Q2"":3,""Q3"":2,""Q4"":2,""Q5"":3,""Q6"":2,""Q7"":1,""Q8"":3,""Q9"":1,""Q10"":2,""Q11"":"""",""Q12"":0,""Q13"":3,""Q14"":1,""Q15"":2,""Q16"":2,""Q17"":2,""Q18"":3,""Q19"":2,""Q20"":1,""Q21"":2,""Q22"":2}"
study2_472,"{""Q0"":3,""Q1"":1,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":3,""Q6"":1,""Q7"":3,""Q8"":3,""Q9"":3,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":3,""Q20"":3,""Q21"":1,""Q22"":3}"
study2_471,"{""Q0"":3,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":1,""Q5"":3,""Q6"":3,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":3,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":1,""Q16"":3,""Q17"":3,""Q18"":2,""Q19"":3,""Q20"":3,""Q21"":2,""Q22"":2}"
study2_470,"{""Q0"":1,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":2,""Q8"":1,""Q9"":1,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":1,""Q16"":1,""Q17"":0,""Q18"":1,""Q19"":1,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_469,"{""Q0"":1,""Q1"":2,""Q2"":2,""Q3"":"""",""Q4"":1,""Q5"":2,""Q6"":2,""Q7"":0,""Q8"":1,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":2,""Q15"":2,""Q16"":2,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":1}"
study2_468,"{""Q0"":1,""Q1"":2,""Q2"":1,""Q3"":1,""Q4"":1,""Q5"":2,""Q6"":2,""Q7"":1,""Q8"":1,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":"""",""Q17"":2,""Q18"":1,""Q19"":1,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_467,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":1,""Q4"":0,""Q5"":0,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":1,""Q14"":1,""Q15"":1,""Q16"":0,""Q17"":0,""Q18"":1,""Q19"":0,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_466,"{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":1,""Q4"":2,""Q5"":1,""Q6"":2,""Q7"":2,""Q8"":1,""Q9"":1,""Q10"":2,""Q11"":0,""Q12"":1,""Q13"":2,""Q14"":1,""Q15"":2,""Q16"":2,""Q17"":1,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_465,"{""Q0"":2,""Q1"":3,""Q2"":2,""Q3"":1,""Q4"":1,""Q5"":2,""Q6"":3,""Q7"":2,""Q8"":2,""Q9"":2,""Q10"":1,""Q11"":0,""Q12"":0,""Q13"":2,""Q14"":2,""Q15"":2,""Q16"":1,""Q17"":2,""Q18"":2,""Q19"":2,""Q20"":2,""Q21"":1,""Q22"":1}"
study2_464,"{""Q0"":3,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":2,""Q5"":2,""Q6"":2,""Q7"":3,""Q8"":3,""Q9"":2,""Q10"":2,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":3,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":2,""Q20"":2,""Q21"":2,""Q22"":2}"
study2_463,"{""Q0"":0,""Q1"":1,""Q2"":1,""Q3"":0,""Q4"":0,""Q5"":2,""Q6"":1,""Q7"":2,""Q8"":1,""Q9"":1,""Q10"":0,""Q11"":1,""Q12"":0,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":0,""Q21"":1,""Q22"":1}"
study2_462,"{""Q0"":3,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":3,""Q5"":3,""Q6"":1,""Q7"":3,""Q8"":3,""Q9"":1,""Q10"":3,""Q11"":0,""Q12"":0,""Q13"":3,""Q14"":0,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":2,""Q20"":1,""Q21"":3,""Q22"":3}"
study2_461,"{""Q0"":3,""Q1"":3,""Q2"":2,""Q3"":2,""Q4"":3,""Q5"":3,""Q6"":3,""Q7"":3,""Q8"":3,""Q9"":3,""Q10"":3,""Q11"":0,""Q12"":2,""Q13"":3,""Q14"":2,""Q15"":3,""Q16"":3,""Q17"":3,""Q18"":3,""Q19"":2,""Q20"":3,""Q21"":3,""Q22"":2}"
study2_460,"{""Q0"":0,""Q1"":0,""Q2"":0,""Q3"":0,""Q4"":0,""Q5"":1,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":0,""Q10"":0,""Q11"":0,""Q12"":1,""Q13"":1,""Q14"":0,""Q15"":0,""Q16"":0,""Q17"":0,""Q18"":0,""Q19"":0,""Q20"":1,""Q21"":0,""Q22"":0}"
study2_459,"{""Q0"":1,""Q1"":1,""Q2"":0,""Q3"":0,""Q4"":"""",""Q5"":2,""Q6"":0,""Q7"":0,""Q8"":0,""Q9"":3,""Q10"":1,""Q11"":0,""Q12"":1,""Q13"":3,""Q14"":1,""Q15"":2,""Q16"":3,""Q17"":1,""Q18"":2,""Q19"":1,""Q20"":0,""Q21"":0,""Q22"":1}"
